bs_id,bs_technology,bs_fc,bs_operator,bs_lat,bs_long,bs_power
bs_mno_2_gsm_1553,gsm,900,mno_2,52.705,-8.6121,40
bs_mno_2_gsm_1563,gsm,900,mno_2,53.196,-8.5679,40
bs_mno_2_gsm_1561,gsm,900,mno_2,51.673,-8.5695,40
bs_mno_2_gsm_1559,gsm,900,mno_2,53.74,-8.5817,40
bs_mno_2_gsm_1560,gsm,900,mno_2,53.901,-8.5787,40
bs_mno_2_gsm_1531,gsm,900,mno_2,54.113,-8.6501,40
bs_mno_2_gsm_1519,gsm,900,mno_2,54.21,-8.6851,40
bs_mno_2_gsm_1567,gsm,900,mno_2,53.5,-8.553,40
bs_mno_2_gsm_1540,gsm,900,mno_2,52.107,-8.6313,40
bs_mno_2_gsm_1568,gsm,900,mno_2,53.203,-8.5508,40
bs_mno_2_gsm_1572,gsm,900,mno_2,52.58,-8.5384,40
bs_mno_2_gsm_1573,gsm,900,mno_2,52.905,-8.5374,40
bs_mno_2_gsm_1562,gsm,900,mno_2,51.935,-8.5685,40
bs_mno_2_gsm_1571,gsm,900,mno_2,51.945,-8.5403,40
bs_mno_2_gsm_1574,gsm,900,mno_2,51.888,-8.5334,40
bs_mno_2_gsm_1576,gsm,900,mno_2,51.878,-8.5295,40
bs_mno_2_gsm_1579,gsm,900,mno_2,51.855,-8.5097,40
bs_mno_2_gsm_1581,gsm,900,mno_2,53.281,-8.5038,40
bs_mno_2_gsm_1565,gsm,900,mno_2,52.395,-8.5625,40
bs_mno_2_gsm_1570,gsm,900,mno_2,52.476,-8.547,40
bs_mno_2_gsm_1586,gsm,900,mno_2,52.661,-8.4938,40
bs_mno_2_gsm_1590,gsm,900,mno_2,52.729,-8.4893,40
bs_mno_2_gsm_1602,gsm,900,mno_2,52.686,-8.4743,40
bs_mno_2_gsm_1609,gsm,900,mno_2,52.728,-8.4691,40
bs_mno_2_gsm_1555,gsm,900,mno_2,54.276,-8.5964,40
bs_mno_2_gsm_1587,gsm,900,mno_2,54.203,-8.4927,40
bs_mno_2_gsm_1593,gsm,900,mno_2,54.108,-8.4866,40
bs_mno_2_gsm_1577,gsm,900,mno_2,54.369,-8.5189,40
bs_mno_2_gsm_1617,gsm,900,mno_2,54.25,-8.4556,40
bs_mno_2_gsm_1578,gsm,900,mno_2,51.711,-8.5123,40
bs_mno_2_gsm_1588,gsm,900,mno_2,51.755,-8.4909,40
bs_mno_2_gsm_1594,gsm,900,mno_2,51.875,-8.4865,40
bs_mno_2_gsm_1599,gsm,900,mno_2,51.864,-8.4759,40
bs_mno_2_gsm_1629,gsm,900,mno_2,53.872,-8.4296,40
bs_mno_2_gsm_1623,gsm,900,mno_2,52.601,-8.4417,40
bs_mno_2_gsm_1583,gsm,900,mno_2,52.114,-8.4993,40
bs_mno_2_gsm_1632,gsm,900,mno_2,52.246,-8.4233,40
bs_mno_2_gsm_1620,gsm,900,mno_2,52.804,-8.4491,40
bs_mno_2_gsm_1628,gsm,900,mno_2,52.77,-8.4303,40
bs_mno_2_gsm_1636,gsm,900,mno_2,52.711,-8.4059,40
bs_mno_2_gsm_1625,gsm,900,mno_2,53.503,-8.44,40
bs_mno_2_gsm_1638,gsm,900,mno_2,52.851,-8.3988,40
bs_mno_2_gsm_1631,gsm,900,mno_2,53.266,-8.4234,40
bs_mno_2_gsm_1630,gsm,900,mno_2,52.472,-8.429,40
bs_mno_2_gsm_1637,gsm,900,mno_2,52.378,-8.4035,40
bs_mno_2_gsm_1640,gsm,900,mno_2,54.08,-8.3925,40
bs_mno_2_gsm_1648,gsm,900,mno_2,52.569,-8.365,40
bs_mno_2_gsm_1645,gsm,900,mno_2,53.572,-8.3832,40
bs_mno_2_gsm_1515,gsm,900,mno_2,54.727,-8.7102,40
bs_mno_2_gsm_1641,gsm,900,mno_2,54.732,-8.3921,40
bs_mno_2_gsm_1650,gsm,900,mno_2,54.632,-8.3576,40
bs_mno_2_gsm_1647,gsm,900,mno_2,54.374,-8.3709,40
bs_mno_2_gsm_1657,gsm,900,mno_2,53.295,-8.3173,40
bs_mno_2_gsm_1652,gsm,900,mno_2,53.401,-8.3294,40
bs_mno_2_gsm_1659,gsm,900,mno_2,52.313,-8.3064,40
bs_mno_2_gsm_1643,gsm,900,mno_2,51.937,-8.3913,40
bs_mno_2_gsm_1665,gsm,900,mno_2,53.166,-8.2937,40
bs_mno_2_gsm_1653,gsm,900,mno_2,52.87,-8.3284,40
bs_mno_2_gsm_1666,gsm,900,mno_2,52.838,-8.2935,40
bs_mno_2_gsm_1661,gsm,900,mno_2,53.973,-8.3,40
bs_mno_2_gsm_1667,gsm,900,mno_2,54.001,-8.2925,40
bs_mno_2_gsm_1639,gsm,900,mno_2,51.791,-8.3943,40
bs_mno_2_gsm_1644,gsm,900,mno_2,51.859,-8.3876,40
bs_mno_2_gsm_1651,gsm,900,mno_2,51.829,-8.3439,40
bs_mno_2_gsm_1664,gsm,900,mno_2,51.792,-8.2949,40
bs_mno_2_gsm_1658,gsm,900,mno_2,51.877,-8.3129,40
bs_mno_2_gsm_1669,gsm,900,mno_2,51.931,-8.2781,40
bs_mno_2_gsm_1668,gsm,900,mno_2,52.208,-8.2862,40
bs_mno_2_gsm_1672,gsm,900,mno_2,52.264,-8.2702,40
bs_mno_2_gsm_1662,gsm,900,mno_2,52.09,-8.2988,40
bs_mno_2_gsm_1660,gsm,900,mno_2,52.019,-8.3043,40
bs_mno_2_gsm_1671,gsm,900,mno_2,52.138,-8.2746,40
bs_mno_2_gsm_1673,gsm,900,mno_2,52.132,-8.2686,40
bs_mno_2_gsm_1674,gsm,900,mno_2,51.911,-8.254,40
bs_mno_2_gsm_1656,gsm,900,mno_2,53.775,-8.3176,40
bs_mno_2_gsm_1676,gsm,900,mno_2,53.328,-8.2226,40
bs_mno_2_gsm_1677,gsm,900,mno_2,52.429,-8.2223,40
bs_mno_2_gsm_1675,gsm,900,mno_2,52.529,-8.2507,40
bs_mno_2_gsm_1679,gsm,900,mno_2,52.502,-8.199,40
bs_mno_2_gsm_1680,gsm,900,mno_2,53.335,-8.1982,40
bs_mno_2_gsm_1681,gsm,900,mno_2,52.862,-8.1942,40
bs_mno_2_gsm_1670,gsm,900,mno_2,54.48,-8.2749,40
bs_mno_2_gsm_1685,gsm,900,mno_2,54.304,-8.1779,40
bs_mno_2_gsm_1682,gsm,900,mno_2,54.502,-8.1906,40
bs_mno_2_gsm_1678,gsm,900,mno_2,54.53,-8.2024,40
bs_mno_2_gsm_1694,gsm,900,mno_2,51.873,-8.1378,40
bs_mno_2_gsm_1693,gsm,900,mno_2,53.223,-8.145,40
bs_mno_2_gsm_1696,gsm,900,mno_2,53.32,-8.1261,40
bs_mno_2_gsm_1688,gsm,900,mno_2,53.431,-8.1736,40
bs_mno_2_gsm_1689,gsm,900,mno_2,54.085,-8.17,40
bs_mno_2_gsm_1699,gsm,900,mno_2,52.905,-8.1161,40
bs_mno_2_gsm_1695,gsm,900,mno_2,53.003,-8.1288,40
bs_mno_2_gsm_1702,gsm,900,mno_2,52.621,-8.0912,40
bs_mno_2_gsm_1691,gsm,900,mno_2,52.475,-8.1595,40
bs_mno_2_gsm_1701,gsm,900,mno_2,52.454,-8.0976,40
bs_mno_2_gsm_1698,gsm,900,mno_2,53.392,-8.1181,40
bs_mno_2_gsm_1690,gsm,900,mno_2,53.574,-8.165,40
bs_mno_2_gsm_1684,gsm,900,mno_2,53.635,-8.1874,40
bs_mno_2_gsm_1706,gsm,900,mno_2,53.506,-8.0634,40
bs_mno_2_gsm_1703,gsm,900,mno_2,53.947,-8.0904,40
